captured_at,symbol,anchor,phase,anchor_asleep,hours_to_discovery,last,bid,ask,spread_bps,change_24h,base_volume,funding_rate
2026-09-12T07:55:42.331749+00:00,NVDAUSDT,NVDA,weekend,True,53.572,219.37,219.42,219.43,0.4557,-0.00209,49558.11,0
2026-09-12T07:55:42.331749+00:00,TSLAUSDT,TSLA,weekend,True,53.572,365.17,365.22,365.23,0.2738,0.00019,41643.4,0
2026-09-12T07:55:42.331749+00:00,AAPLUSDT,AAPL,weekend,True,53.572,333.27,333.31,333.32,0.3000,0.02074,18905.09,0
2026-09-12T07:55:42.331749+00:00,MSFTUSDT,MSFT,weekend,True,53.572,494.92,494.91,494.94,0.6062,0.00634,6448.05,0
2026-09-12T07:55:42.331749+00:00,METAUSDT,META,weekend,True,53.572,647.96,647.79,647.81,0.3087,0.00386,3528.08,0
2026-09-12T07:55:42.331749+00:00,GOOGLUSDT,GOOGL,weekend,True,53.572,339.41,339.44,339.47,0.8838,0.01812,19670.96,0
2026-09-12T07:55:42.331749+00:00,AMZNUSDT,AMZN,weekend,True,53.572,256.55,256.56,256.57,0.3898,0.01399,7847.22,0
2026-09-12T07:55:42.331749+00:00,COINUSDT,COIN,weekend,True,53.572,176.04,176.03,176.04,0.5681,0.01922,17464.25,0
2026-09-12T07:55:42.331749+00:00,MSTRUSDT,MSTR,weekend,True,53.572,131.2,131.21,131.22,0.7621,0.01564,257960.72,0
2026-09-12T07:55:42.331749+00:00,QQQUSDT,QQQ,weekend,True,53.572,716.21,715.99,716,0.1397,0.00591,8891.34,0
2026-09-12T07:55:42.331749+00:00,SPXUSDT,SPX,weekend,True,53.572,0.4933,0.4944,0.495,12.1286,0.02281,1191518,0.00005
2026-09-12T07:55:42.331749+00:00,TQQQUSDT,TQQQ,weekend,True,53.572,71.2,71.18,71.19,1.4048,0.01729,28279.11,0
2026-09-12T07:55:42.331749+00:00,SQQQUSDT,SQQQ,weekend,True,53.572,38.77,38.78,38.79,2.5783,-0.01848,18489.84,0
